,Unnamed: 0,Age,Job,Marital Status,Education,Credit,Balance,Housing Loan,Personal Loan,Telphone only,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign Freq,Lag in days,Previous Freq,Previous outcome,Accepted Offer?
43273,43273,79,retired,married,primary,no,3025,no,no,telephone,11,mar,184,1,90,6,success,No
43276,43276,75,retired,married,primary,no,1765,no,no,telephone,11,mar,282,2,181,2,success,No
43281,43281,80,retired,married,primary,no,155,no,no,telephone,12,mar,290,1,93,2,success,Yes
43296,43296,82,retired,divorced,primary,no,0,no,no,telephone,15,mar,506,2,195,1,other,Yes
43299,43299,71,retired,married,tertiary,no,3561,no,no,telephone,15,mar,577,7,-1,0,unknown,Yes
43311,43311,61,retired,married,secondary,no,5196,no,no,telephone,16,mar,244,2,95,4,other,No
43332,43332,86,retired,married,secondary,no,1503,no,no,telephone,18,mar,165,3,101,1,other,No
43343,43343,72,retired,married,primary,no,4657,no,no,telephone,23,mar,255,1,91,8,success,Yes
43365,43365,82,retired,divorced,primary,no,1419,no,no,telephone,26,mar,139,1,-1,0,unknown,No
43393,43393,84,retired,married,secondary,no,81204,no,no,telephone,1,apr,390,1,94,3,success,Yes
43394,43394,86,retired,married,primary,no,5236,no,no,telephone,1,apr,558,2,-1,0,unknown,Yes
43423,43423,80,retired,married,secondary,no,8304,no,no,telephone,6,apr,681,1,118,11,success,No
43446,43446,71,retired,divorced,secondary,no,3104,no,no,telephone,12,apr,271,1,187,1,failure,No
43457,43457,80,housemaid,married,secondary,no,499,no,no,telephone,13,apr,224,2,393,4,failure,No
43477,43477,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,Yes
43508,43508,74,retired,married,tertiary,no,4912,no,no,telephone,20,apr,268,2,181,3,failure,No
43527,43527,76,retired,married,secondary,no,820,no,no,telephone,23,apr,263,4,-1,0,unknown,Yes
43537,43537,80,retired,divorced,primary,no,5861,no,no,telephone,26,apr,92,8,-1,0,unknown,No
43556,43556,63,blue-collar,married,primary,no,115,no,no,telephone,27,apr,325,1,180,7,failure,Yes
43569,43569,76,self-employed,married,unknown,no,4984,no,no,telephone,28,apr,403,1,182,1,success,Yes
43583,43583,63,retired,married,primary,no,12067,no,no,telephone,29,apr,660,1,191,1,failure,Yes
43614,43614,77,retired,married,tertiary,no,7802,no,no,telephone,4,may,421,1,92,2,success,Yes
43620,43620,80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,53,3,success,Yes
43635,43635,72,retired,married,primary,no,2304,no,no,telephone,5,may,510,4,-1,0,unknown,Yes
43653,43653,77,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,-1,0,unknown,Yes
43654,43654,83,retired,married,secondary,no,0,no,no,telephone,7,may,201,2,268,2,failure,No
43662,43662,80,retired,married,primary,no,594,no,no,telephone,10,may,128,2,-1,0,unknown,No
43666,43666,78,retired,married,primary,no,832,no,no,telephone,11,may,97,3,-1,0,unknown,No
43717,43717,70,retired,married,secondary,no,1164,no,no,telephone,14,may,338,3,185,2,failure,No
43736,43736,79,retired,married,primary,no,1058,no,no,telephone,17,may,564,5,-1,0,unknown,No
43745,43745,84,retired,divorced,primary,no,639,no,no,telephone,18,may,353,3,-1,0,unknown,Yes
43760,43760,78,retired,married,unknown,no,3208,no,no,telephone,20,may,351,3,-1,0,unknown,Yes
43775,43775,78,retired,married,primary,no,680,no,no,telephone,24,may,838,1,89,9,failure,No
43801,43801,67,retired,married,primary,no,1430,no,no,telephone,26,may,283,2,135,5,success,Yes
43832,43832,83,retired,divorced,primary,no,0,no,no,telephone,31,may,664,1,77,3,success,No
43867,43867,62,management,married,tertiary,no,5008,no,no,telephone,4,jun,139,2,-1,0,unknown,No
43877,43877,68,retired,married,unknown,no,3701,no,no,telephone,8,jun,149,1,-1,0,unknown,No
43893,43893,80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,Yes
43896,43896,83,retired,married,tertiary,no,4761,no,no,telephone,9,jun,294,2,93,1,success,No
43904,43904,67,retired,married,unknown,no,2540,no,no,telephone,14,jun,278,5,116,4,other,Yes
43931,43931,76,self-employed,married,unknown,no,4984,no,no,telephone,15,jun,126,3,48,2,success,No
43933,43933,64,retired,married,secondary,no,3189,no,no,telephone,15,jun,208,1,-1,0,unknown,Yes
43953,43953,71,retired,married,secondary,no,29941,no,no,telephone,18,jun,80,1,71,3,other,No
43974,43974,75,retired,married,secondary,no,468,no,no,telephone,24,jun,316,1,-1,0,unknown,No
44013,44013,68,retired,divorced,primary,no,476,no,no,telephone,28,jun,363,1,-1,0,unknown,Yes
44051,44051,72,retired,single,tertiary,no,1285,no,no,telephone,1,jul,494,4,150,9,failure,No
44095,44095,71,retired,divorced,unknown,no,392,no,no,telephone,7,jul,276,2,-1,0,unknown,Yes
44102,44102,80,retired,married,secondary,no,668,no,no,telephone,8,jul,250,1,371,1,success,Yes
44109,44109,79,retired,divorced,unknown,no,2628,no,no,telephone,8,jul,220,7,450,2,failure,No
44151,44151,79,retired,divorced,primary,no,2787,no,no,telephone,13,jul,617,1,377,1,success,Yes
44167,44167,70,retired,divorced,primary,no,482,no,no,telephone,14,jul,413,1,181,3,success,Yes
44173,44173,86,retired,married,primary,no,1255,no,no,telephone,14,jul,247,1,180,3,success,Yes
44178,44178,68,retired,divorced,secondary,no,4189,no,no,telephone,14,jul,897,2,-1,0,unknown,Yes
44192,44192,68,retired,married,secondary,no,2469,yes,no,telephone,15,jul,552,2,-1,0,unknown,Yes
44327,44327,64,retired,married,secondary,no,1574,no,no,telephone,29,jul,301,3,-1,0,unknown,Yes
44334,44334,77,retired,married,secondary,no,4112,no,no,telephone,29,jul,426,1,184,3,success,Yes
44338,44338,61,management,married,unknown,no,264,no,no,telephone,29,jul,270,1,178,1,success,Yes
44347,44347,71,technician,married,secondary,no,3020,no,no,telephone,30,jul,304,1,270,3,failure,Yes
44350,44350,64,retired,married,primary,no,12067,no,no,telephone,30,jul,367,2,92,2,success,Yes
44406,44406,63,entrepreneur,married,secondary,no,3904,no,no,telephone,4,aug,250,2,187,2,success,Yes
44410,44410,78,retired,married,unknown,no,38,no,no,telephone,4,aug,156,1,1,3,other,No
44415,44415,80,retired,married,secondary,no,2354,no,no,telephone,4,aug,199,2,181,3,success,No
44473,44473,62,management,married,tertiary,no,1859,no,no,telephone,6,aug,245,3,-1,0,unknown,Yes
44480,44480,79,retired,divorced,secondary,no,631,no,no,telephone,9,aug,440,5,182,3,failure,No
44483,44483,75,retired,married,primary,no,3504,no,no,telephone,9,aug,195,1,-1,0,unknown,No
44504,44504,77,retired,married,primary,no,2223,no,no,telephone,10,aug,365,2,187,1,success,No
44510,44510,61,retired,married,secondary,no,1853,no,no,telephone,10,aug,520,1,181,2,success,Yes
44515,44515,65,entrepreneur,married,tertiary,no,2331,no,no,telephone,11,aug,425,1,183,2,success,Yes
44529,44529,77,retired,married,primary,no,2590,no,no,telephone,12,aug,345,1,178,20,failure,Yes
44585,44585,61,blue-collar,married,secondary,no,681,yes,no,telephone,19,aug,173,6,492,2,failure,No
44634,44634,77,retired,married,primary,no,1492,no,no,telephone,1,sep,663,1,208,2,other,No
44656,44656,63,unknown,married,secondary,no,367,no,no,telephone,2,sep,173,1,182,7,failure,No
44669,44669,88,retired,married,primary,no,648,no,no,telephone,3,sep,318,1,-1,0,unknown,No
44677,44677,70,retired,divorced,secondary,no,6850,no,no,telephone,3,sep,228,1,182,4,failure,No
44701,44701,84,retired,divorced,primary,no,1680,no,no,telephone,6,sep,113,5,97,3,other,No
44734,44734,77,retired,married,primary,no,1385,no,no,telephone,8,sep,160,4,-1,0,unknown,No
44738,44738,80,retired,married,secondary,no,8304,no,no,telephone,8,sep,606,3,91,13,success,Yes
44742,44742,64,unknown,married,unknown,no,2799,no,no,telephone,9,sep,378,4,-1,0,unknown,No
44746,44746,84,retired,married,tertiary,no,4761,no,no,telephone,9,sep,1405,1,92,3,failure,Yes
44762,44762,69,retired,married,unknown,no,426,no,no,telephone,10,sep,211,2,185,2,success,Yes
44779,44779,67,retired,married,unknown,no,2540,no,no,telephone,14,sep,279,3,92,9,success,Yes
44788,44788,75,retired,married,primary,no,1765,no,no,telephone,14,sep,808,1,187,4,failure,Yes
44794,44794,88,retired,married,secondary,no,433,no,no,telephone,15,sep,161,1,274,1,failure,No
44800,44800,72,retired,married,tertiary,no,3561,no,no,telephone,15,sep,511,3,184,7,success,Yes
44806,44806,74,retired,divorced,primary,no,2308,no,no,telephone,16,sep,251,2,535,2,success,No
44830,44830,81,retired,married,primary,no,1154,no,no,telephone,17,sep,231,1,-1,0,unknown,Yes
44875,44875,82,retired,divorced,primary,no,928,no,no,telephone,23,sep,217,2,188,3,other,No
44892,44892,89,retired,married,primary,no,0,no,no,telephone,27,sep,157,5,-1,0,unknown,No
44902,44902,69,admin.,married,secondary,no,813,no,no,telephone,28,sep,237,2,-1,0,unknown,No
44996,44996,75,retired,divorced,secondary,no,1092,no,no,telephone,12,oct,250,1,431,2,failure,No
45056,45056,64,management,married,tertiary,no,5112,no,no,telephone,19,oct,898,7,137,11,other,Yes
45063,45063,75,retired,married,tertiary,no,4912,no,no,telephone,20,oct,238,2,183,5,failure,No
45078,45078,77,retired,married,secondary,no,820,no,no,telephone,21,oct,330,2,181,4,success,Yes
45091,45091,61,retired,married,primary,no,2686,no,no,telephone,22,oct,84,3,-1,0,unknown,No
45104,45104,73,retired,married,primary,no,1388,no,no,telephone,25,oct,254,1,97,6,failure,No
45140,45140,63,entrepreneur,married,secondary,no,3904,no,no,telephone,8,nov,360,1,96,4,success,Yes
45141,45141,77,unknown,married,unknown,no,397,no,no,telephone,8,nov,207,1,185,3,success,No
45154,45154,63,retired,married,primary,no,3738,no,no,telephone,9,nov,301,1,456,4,failure,No
